LEXENTRY:	TRAVESSA DO	TRAVESSA DO	TYPE	DET_PRE
LEXENTRY:	TRAVESSA DOS	TRAVESSA DOS	TYPE	DET_PRE
LEXENTRY:	VIA	VIA	TYPE	DET_PRE
LEXENTRY:	VIA DE	VIA DE	TYPE	DET_PRE
LEXENTRY:	VIA DO	VIA DO	TYPE	DET_PRE
LEXENTRY:	VIANA DO CASTELO	VIANA DO CASTELO	PROV	DETACH
LEXENTRY:	VIELA	VIELA	TYPE	DET_PRE
LEXENTRY:	VIELA DA	VIELA DA	TYPE	DET_PRE
LEXENTRY:	VIELA DAS	VIELA DAS	TYPE	DET_PRE
LEXENTRY:	VIELA DE	VIELA DE	TYPE	DET_PRE
LEXENTRY:	VIELA DO	VIELA DO	TYPE	DET_PRE
LEXENTRY:	VIELA DOS	VIELA DOS	TYPE	DET_PRE
LEXENTRY:	VILA	VILA	TYPE	DET_PRE
LEXENTRY:	VILA DA	VILA DA	TYPE	DET_PRE
LEXENTRY:	VILA DO	VILA DO	TYPE	DET_PRE
LEXENTRY:	VILA REAL	VILA REAL	PROV	DETACH
LEXENTRY:	VISEU	VISEU	PROV	DETACH
LEXENTRY:	ÉVORA	EVORA	PROV	DETACH
